year,quarter,TotalkWh,TotalAccounts,temperature_2m_max,temperature_2m_min,cumulative_solar,BEV,PHEV,load_per_account,delta_totalkwh,delta_totalaccounts,delta_load_per_account,Income_Median,Pct_Multifamily,Locale,Pct_Rentalunits,Educ_Attainment_L5,Pct no vehicles,CommuteGr45min,Commute15min,Commute30min,Total_Pop,Total_Pop_Median_age,GRAPI_<30%,GRAPI_>30%,zip_code
2016,4,9647327.333333334,26481.0,23.26676,12.094479,379.0,102.0,156.0,364.3112923731481,-1137183.333333332,-1765.3333333333285,-17.490853038055775,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2017,1,8516544.666666666,22984.33333333333,18.13889,10.017777,470.0,169.0,243.0,370.53694545560023,-1130782.666666668,-3496.6666666666715,6.2256530824521406,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2017,2,7342129.0,23367.0,23.944012,14.01489,470.0,169.0,243.0,314.2093122779989,-1174415.666666666,382.6666666666715,-56.32763317760134,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2017,3,9099351.666666666,23017.33333333333,27.37348,18.43489,470.0,169.0,243.0,395.32605862248744,1757222.666666666,-349.6666666666715,81.11674634448855,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2017,4,8718817.333333334,24801.33333333333,23.822935,14.361522,470.0,169.0,243.0,351.5463147142628,-380534.3333333321,1784.0,-43.779743908224646,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2018,1,10154004.333333334,28446.666666666668,19.456112,10.4794445,550.0,261.0,328.0,356.94882821654556,1435187.0,3645.3333333333394,5.402513502282773,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2018,2,8809635.333333334,28309.33333333333,22.132473,13.06379,550.0,261.0,328.0,311.1919037302186,-1344369.0,-137.3333333333394,-45.756924486326966,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2018,3,12070070.333333334,28396.0,27.971848,18.609346,550.0,261.0,328.0,425.06234446166127,3260435.0,86.66666666667152,113.87044073144267,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2018,4,9856157.333333334,28281.666666666668,21.578913,12.728912,550.0,261.0,328.0,348.49987624491723,-2213913.0,-114.33333333333212,-76.56246821674404,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2019,1,10692767.333333334,28298.0,16.568888,8.748888,597.0,373.0,391.0,377.8630056305511,836610.0,16.33333333333212,29.36312938563384,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2019,2,8553836.333333334,28242.0,21.338516,12.952802,597.0,373.0,391.0,302.87643698510493,-2138931.0,-56.0,-74.98656864544614,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2019,3,9918168.0,26358.666666666668,27.460436,17.489782,597.0,373.0,391.0,376.27730284789317,1364331.666666666,-1883.3333333333321,73.40086586278824,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2019,4,9984984.666666666,28179.33333333333,21.741413,12.1348915,597.0,373.0,391.0,354.33715015732577,66816.66666666605,1820.6666666666606,-21.940152690567402,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2020,1,9886751.333333334,28019.33333333333,18.521482,9.552802,662.0,438.0,443.0,352.8546241880607,-98233.33333333209,-160.0,-1.4825259692650548,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2020,2,10128719.666666666,28250.0,23.278625,14.058297,662.0,438.0,443.0,358.53874926253684,241968.3333333321,230.66666666667152,5.684125074476128,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2020,3,12032920.666666666,28337.33333333333,28.95174,17.91913,662.0,438.0,443.0,424.63136968898516,1904201.0,87.33333333332848,66.09262042644832,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2020,4,11379283.0,28344.0,23.085978,13.106629,662.0,438.0,443.0,401.47061106407,-653637.666666666,6.666666666671517,-23.16075862491516,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2021,1,10002042.0,26526.33333333333,19.145555,9.275,738.0,702.0,488.0,377.06085776398305,-1377241.0,-1817.6666666666715,-24.409753300086948,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2021,2,8903410.333333334,28092.33333333333,23.353352,13.432472,738.0,702.0,488.0,316.9338134959717,-1098631.666666666,1566.0,-60.12704426801133,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2021,3,10917287.666666666,28147.666666666668,27.739782,17.481087,738.0,702.0,488.0,387.85764361758817,2013877.333333332,55.3333333333394,70.92383012161645,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
2021,4,9892349.0,28196.0,21.003912,12.154456,738.0,702.0,488.0,350.8422825932756,-1024938.666666666,48.33333333333212,-37.01536102431254,42039.6666666667,31.3166666667,Suburban Large,41.9,12.5833333333,6.2666666667,23.36853058,32.830433995,43.4266168017,4594.1666666667,36.2833333333,53.7166666667,46.2666666667,90250
